brand,current_price,old_price,discount,description,ratings,times_reviewed,rom,ram,battery,camera,sim port,screen_dim,android_ver
Infinix,42990,45000,-4,"HOT 8 LITE (X650) 6.6"" HD+ 2GB RAM + 32GB ROM, 5000mAh, Andriod 8.1 (8MP+QVGA) Dual Camera +8MP 3G - Black",4.75,4,32.0,2.0,5000.0,8.0,Dual SIM,6.6,8.1
Doogee,22990,58320,-61,X70 5.5 Inch Face Unlock 2GB RAM 16GB ROM MTK6580A Quad Core 3G Smartphone,4.15,36,16.0,2.0,4000.0,13.0,Dual SIM,5.5,8.1
Samsung,68500,125000,-45,Galaxy S7 Edge 5.5'' QHD(4GB+32GB) 12MP+5MP 4G Smartphone-Silver,4.1,20,32.0,4.0,4000.0,12.0,Dual SIM,5.5,8.1
Samsung,129990,240000,-46,Galaxy Note 8 6.3'' QHD Smartphone (6GB+64GB) 12MP Android Phone-Grey,5.0,1,64.0,6.0,4000.0,12.0,Dual SIM,6.3,8.1
Samsung,132900,250000,-47,Galaxy S9 5.8'' Inch QHD ( 4GB + 64GB ROM ) 12MP+8MP -Purple,5.0,1,64.0,4.0,4000.0,12.0,Dual SIM,5.8,8.1
Samsung,240000,0,0,"Galaxy Note 9 6.4-Inch (6GB RAM, 128GB ROM) Android 8.1 (12MP + 12MP) Dual SIM LTE - Ocean Blue",5.0,1,128.0,6.0,4000.0,12.0,Dual SIM,6.4,8.1
Samsung,132900,250000,-47,Galaxy S9 5.8'' Inch QHD 4GB+64GB 12MP+8MP 4G Smartphone-Midnight Black,5.0,1,64.0,4.0,4000.0,12.0,Dual SIM,5.8,8.1
Samsung,152999,160000,-4,"Galaxy Note 8 6.3-Inch QHD(6GB,64GB ROM) Android 7.1 Nougat, (12MP + 12MP) + 8MP Dual SIM 4G LTE (Midnight Black)",5.0,1,64.0,6.0,4000.0,12.0,Dual SIM,6.3,7.1
Leagoo,30620,61240,-50,T8S  5.5 Inch Smartphone Face Recognition 4GB + 32GB  Android 8.1 MTK6750T Octa Core  Dual SIM 4G  LTE,4.0,7,32.0,4.0,4000.0,13.0,Dual SIM,5.5,8.1
Huawei,220000,0,0,"Y9 Prime 2019 6.59-Inch (4GB, 128GB ROM) Android 9,  16MP Pop-up Selfie Camera, 4000 MAh 4G Smartphone - Midnight Black",4.65,54,128.0,4.0,4000.0,16.0,Dual SIM,6.59,9.0
Gionee,34990,45003,-22,"S11 Lite 5.7-Inch HD (4GB, 32GB ROM) Android 7.1 Nougat, 4G LTE Dual SIM Smartphone",4.35,676,32.0,4.0,4000.0,13.0,Dual SIM,5.7,7.1
Samsung,29990,30000,-1,"Galaxy A2 Core 5"" Andorid 9.0 (Pie) 1GB RAM 16GB ROM 5MP + 5MP Camera Dual Sim 2600Mah  - Red",4.0,1,16.0,1.0,2600.0,5.0,Dual Sim,5.8,8.1
Nokia,32999,60000,-45,"3.1 - 5.2"" - Android - 8 3GB RAM 32GB ROM - 13MP + 8MP -  Dual SIM 4G LTE Smartphone",4.2,50,32.0,3.0,4000.0,13.0,Dual SIM,5.2,8.0
Huawei,63900,72000,-11,"Y7 Prime (2019) 6.26-Inch HD+ Dewdrop (3GB, 32GB ROM) Android 8.1 Oreo (13MP + 2MP) + 16MP Dual SIM 4G 4000mAh Smartphone - Midnight Black",4.5,160,32.0,3.0,4000.0,13.0,Dual SIM,6.26,8.1
Samsung,120000,130000,-8,"Galaxy A50 6.4-Inch (4GB,128GB ROM) Android 9 Pie, (25MP+5MP+ 8MP)+ 25MP 4000mAh 4G Dual SIM Smartphone - Blue",4.45,50,128.0,4.0,4000.0,25.0,Dual SIM,6.4,9.0
Nokia,14000,22000,-36,2720 Cheapest Phone 2720 Fold Cell Phone Bluetooth Java Free Shipping,4.35,3,32.0,4.0,4000.0,13.0,Dual SIM,5.8,8.1
Letv,36800,89360,-59,Le Pro 3 X651 5.5 Inch AI Dual Rear Camera 4GB RAM 32GB ROM Helio X27 Deca Core 4G Smartphone,4.25,4,32.0,4.0,4000.0,13.0,Dual SIM,5.5,8.1
Nokia,122000,0,0,"7.2, 6.3-Inch LCD (6GB RAM, 128GB ROM) Android 9.0, (48MP + 8MP + 5MP)+20MP, Dual SIM 4G Smartphone - Charcoal",3.9,8,128.0,6.0,4000.0,48.0,Dual SIM,6.3,9.0
