brand,current_price,old_price,discount,description,ratings,times_reviewed,rom,ram,battery,camera,sim port,screen_dim,android_ver
Tecno,59970,75000,-20,"Pouvoir 3 Plus (LB8a), 6.35"", (64GB ROM+ 4GB RAM), Android 9, (13MP + 8MP + 2MP)+13MP, 6000mAh 4G LTE,- Midnight Black",4.7,9,64.0,4.0,6000.0,13.0,Dual SIM,6.35,9.0
Gionee,42210,76990,-45,"S11 Lite 5.7 Inch HD (4GB,64GB ROM) Android 7.1 13MP + 16MP, Hybrid Dual SIM 4G LTE Fingerprint ID Smartphone - Black",4.85,13,64.0,4.0,4000.0,13.0,Dual SIM,5.7,7.1
Tecno,28500,0,0,"POP 2F(B1F) - 5.5"" TOUCHSCREEN -16GB ROM + 1GB RAM -8MP + 5MP-FACE UNLOCK/FINGERPRINT-",4.7,3,16.0,1.0,4000.0,8.0,Dual SIM,5.5,8.1
Oppo,38500,88500,-56,OPPO A57 5.2 Inch 3GB 32GB (Expandable Up To 256GB) Android 6.0 Qualcomm Octa - Pink,5.0,1,32.0,3.0,4000.0,13.0,Dual SIM,5.2,6.0
Huawei,51900,55000,-6,"Y6 Prime 2019 6.09-Inch HD+ Dewdrop (2GB,32GB ROM) Android 9.0 Pie, 13MP + 8MP Dual SIM 4G 3020mAh Smartphone - Midnight Black",4.4,87,32.0,2.0,3020.0,13.0,Dual SIM,6.09,9.0
Tecno,26000,28000,-7,"POP 2F ( B1F) -5.5""16GB ROM, 1GB RAM,8MP Front Camera +5MP Back Camera, Battery 2400mAh,Fingerprint & Face Unlock",4.35,243,16.0,1.0,2400.0,8.0,Dual SIM,5.5,8.1
Letv,34155,68310,-50,LeEco Le 2 X520 5.5 Inch 3000mAh Fast Charging 3GB RAM 32GB ROM -PINK,4.5,11,32.0,3.0,3000.0,13.0,Dual SIM,5.5,8.1
Nomu,35999,42999,-16,"S10 PRO 4G 5.0""inch (3GB RAM 32GB ROM) Android 7.0  8.0MP Rear Camera 5000mAh Battery - BLACK",5.0,1,32.0,3.0,5000.0,8.0,Dual SIM,5.0,7.0
Cubot,24880,55080,-55,J5 5.5-Inch (2GB+16GB) Quad Core Android 9.0 Pie 5MP+8MP Smartphone,4.6,18,16.0,2.0,4000.0,5.0,Dual SIM,5.5,9.0
Infinix,42000,0,0,"HOT 7 (X624B) 32GB+2GB, 6.2"", 3G, 4000 MAh, Dual SIM, Fingerprint, 13MP + 8MP - Champagne Gold",4.35,221,32.0,2.0,4000.0,13.0,Dual SIM,6.2,8.1
Nokia,6500,9000,-28,2700c 2700 Classic Mobile Phone Camera Vedio Bluetooth MP4,3.7,3,32.0,4.0,4000.0,13.0,Dual SIM,5.8,8.1
Bontel,17500,0,0,"E11 5-Inch (1GB,8GB ROM) Android 7.0 Nougat, 13MP + 8MP 4000mAh 3G Smartphone - Black",3.7,138,8.0,1.0,4000.0,13.0,Dual SIM,5.0,7.0
Nokia,6800,9000,-24,2700/c Camera Vedio Bluetooth GSM 2MP FM MP3 Mobile Phone,1.0,1,32.0,4.0,4000.0,2.0,Dual SIM,5.8,8.1
Infinix,66900,75000,-11,"HOT 8 6.52"" HD+ (64GB ROM,4GB RAM) (13MP + 2MP + QVGA) + 8MP Front Camera 5000mAh-Midnight Black",5.0,1,64.0,4.0,5000.0,13.0,Dual SIM,6.52,8.1
Blackview,39999,0,0,Blackview A60 Smartphone 4080mAh Battery 19:9 6.1 Inch Dual Camera 1GB RAM 16GB ROM Mobile Phone 13MP+5MP Camera,4.15,19,16.0,1.0,4080.0,13.0,Dual SIM,6.1,8.1
Cubot,55999,89999,-38,Power 5.99-Inch (6GB+128GB) Octa-core 6000mAh 13MP+20MP Smartphone -Black,4.0,2,128.0,6.0,6000.0,13.0,Dual SIM,5.99,8.1
Infinix,65072,75000,-13,"HOT 8(X650D) 6.6"" HD+ (32GB ROM, 3GB RAM) (13MP + 2MP + QVGA) + 8MP Front Camera, 5000mAh Battery - QUETZAL CYAN",5.0,1,32.0,3.0,5000.0,13.0,Dual SIM,6.6,8.1
Infinix,65072,75000,-13,"HOT 8(X650D) 6.6"" HD+ (32GB ROM, 3GB RAM) (13MP + 2MP + QVGA) + 8MP Front Camera, 5000mAh Battery - COSMIC PURPLE",4.45,9,32.0,3.0,5000.0,13.0,Dual SIM,6.6,8.1
Blackview,49999,0,0,"A10 5.0"" HD 18:9 2GB+16GB Android 7.0 Quad Core Fingerprint ID 2800mAh 3G Ultra-Slim Smartphone",5.0,1,16.0,2.0,2800.0,13.0,Dual SIM,5.0,7.0
Samsung,79999,85999,-7,"Galaxy C9 Pro 4G Phablet 6"" Inch (6GB RAM 64GB ROM), Android 6.0 4000mAh Battery - Pink",4.9,7,64.0,6.0,4000.0,13.0,Dual SIM,6.0,6.0
Unicorn,59000,0,0,Smartphone Android 4GB RAM+32GB ROM Dual Sim 5.8 Inch/5.0 Inch MTK6580 Octa Core 3G - Gold,3.0,1,32.0,4.0,4000.0,13.0,Dual Sim,5.8,4.0
Gionee,78000,0,0,S10 LITE 5.2-Inch 4G RAM 32G ROM Qualcomm Snapdragon 13MP+16MP Camera 4G Smartphone,3.5,62,32.0,4.0,4000.0,13.0,Dual SIM,5.2,8.1
Oukitel,59999,0,0,C17 Pro 6.35'' 19:9 4GB RAM 64GB ROM MT6763 Smartphone 13MP Fingerprint Octa Core Android 9.0 4G Mobile Phone 3900mAh,1.0,1,64.0,4.0,3900.0,13.0,Dual SIM,6.35,9.0
UMIDIGI,60860,121720,-50,UMIDIGI Power Global Bands 6.3 Inch FHD+ Waterdrop Display NFC 5150mAh 4G+64G Smartphone(EU Version)-Black,2.5,2,32.0,4.0,5150.0,13.0,Dual SIM,6.3,8.1
Homtom,57000,0,0,S8 Smartphone 5.7'' Android 7.0 4+64GB Fingerprint GPS Fast Charge,2.25,4,64.0,4.0,4000.0,13.0,Dual SIM,5.7,7.0
Infinix,60590,70000,-13,"HOT 8(X650B) 6.6"" HD+ (32GB ROM, 2GB RAM) (13MP + 2MP + QVGA) + 8MP Front Camera 5000mAh - Quetzal Cyan",4.4,24,32.0,2.0,5000.0,13.0,Dual SIM,6.6,8.1
Blackview,33920,49014,-31,"A60 Pro 3GB+16GB 6.088"" Waterdrop Screen Android 9.0 4G Dual SIM Smartphone - Blue",5.0,1,16.0,3.0,4000.0,13.0,Dual SIM,6.088,9.0
Cubot,54999,89999,-39,Power 5.99-Inch (6GB+128GB) Octa-core 6000mAh 13MP+20MP Smartphone -Blue,4.5,4,128.0,6.0,6000.0,13.0,Dual SIM,5.99,8.1
Blackview,39999,0,0,Blackview A60 Smartphone 4080mAh Battery 19:9 6.1 Inch Dual Camera 1GB RAM 16GB ROM Mobile Phone 13MP+5MP Camera,4.15,9,16.0,1.0,4080.0,13.0,Dual SIM,6.1,8.1
Nokia,89999,0,0,X5 3GB+32GB ROM 5.86-inch HD 13MP+5MP Back Camera Dual Card 4G Smartphone,4.45,15,32.0,3.0,4000.0,13.0,Dual SIM,5.86,8.1
Jodom,38999,0,0,N5 PRO 6.3 Inch HD Water Drop Screen 1G+16G MTK6580 Dual SIM Dual Standby Mobile Phone,5.0,1,32.0,4.0,4000.0,13.0,Dual SIM,6.3,8.1
Gionee,38000,45000,-16,"S11 Lite 5.7-Inch (4GB,32GB ROM) Android 7.1 Nougat (13MP+2MP)+16MP, Hybrid Dual SIM 4G Fingerprint ID Smartphone- Black",4.55,11,32.0,4.0,4000.0,13.0,Dual SIM,5.7,7.1
LG,29999,199999,-85,Smart Phone， LG G4 4G LTE H815 Mobile Phone Hexa Core 5.5 Inch 16.0MP Camera 3GB+32GB-Brown,2.0,2,32.0,3.0,4000.0,16.0,Dual SIM,5.5,8.1
Huawei,47500,50900,-7,"Y5 2019 5.71-Inch (2GB, 32GB ROM) Android 9, 13MP + 5MP Dual SIM 4G Smartphone - Amber Brown",4.35,84,32.0,2.0,4000.0,13.0,Dual SIM,5.71,9.0
AfriOne,61000,70000,-13,Afrione Cygnus X 20mp Ai Selfie & Rear Camera – 6.53″ Waterdrop Full Screen Display – 4GB/64GB,3.0,5,64.0,4.0,4000.0,13.0,Dual SIM,5.8,8.1
Oppo,77967,78000,-1,"Realme 5i 4GB+64GB 6.52"" 12MP Triple Camera Snapdragon 665 Dual SIM 5000mAh-Green",4.0,1,64.0,4.0,5000.0,12.0,Dual SIM,6.52,8.1
Tecno,28000,0,0,"WX3 Lite 5-Inch (1GB, 8GB ROM) Android 7.0 Nougat, 5MP + 5MP Dual SIM 4G Smartphone - Gold",4.15,57,8.0,1.0,4000.0,5.0,Dual SIM,5.0,7.0
Fero,49000,0,0,Royale J1-Gold,4.0,1,32.0,4.0,4000.0,13.0,Dual SIM,5.8,8.1
Nokia,129990,0,0,"7.2, 6.3-Inch LCD (6GB RAM, 128GB ROM) Android 9.0, (48MP + 8MP + 5MP)+20MP, Dual SIM 4G Smartphone - Ice",2.0,1,128.0,6.0,4000.0,48.0,Dual SIM,6.3,9.0
LG,29999,199999,-85,Smart Phone， LG G4 4G LTE H815 Mobile Phone Hexa Core 5.5 Inch 16.0MP Camera 3GB+32GB-leather Black,4.0,1,32.0,3.0,4000.0,16.0,Dual SIM,5.5,8.1
Motorola,78000,0,0,"Moto G5S XT1799 5.2-inch (4GB, 64GB ROM) 3000mAh, 16MP+16MP, Android 7.1, 4G LTE Smartphone - Black",4.75,4,64.0,4.0,3000.0,16.0,Dual SIM,5.2,7.1
LG,79900,0,0,"G6 5.7"" (4GB , 32GB) 4G Single SIM , Android 7 , Dual13MP - Black",4.35,3,32.0,4.0,4000.0,13.0,Single SIM,5.7,7.0
LG,69900,0,0,"G6 5.7"" (4GB , 32GB) 4G Single SIM ,Android 7 , 13MP - Black",5.0,2,32.0,4.0,4000.0,13.0,Single SIM,5.7,7.0
Swiss,16500,19500,-15,"SD 510- Dual Sim- 8gb Rom, 1gb Ram, 3g, 1.3GHz Quad Core- Black",4.0,3,32.0,4.0,4000.0,13.0,Dual Sim,5.8,8.1
Gionee,99900,0,0,"M7P (4GB, 64GB ROM) 5000mAh, 13MP Android 7.1 Dual Sim 4G  - Gold",4.0,3,64.0,4.0,5000.0,13.0,Dual Sim,5.8,7.1
Oukitel,24099,38080,-37,C8 3G Phablet 5.5 Inch Android 7.0 Quad Core 2GB RAM 16GB ROM 8.0MP Rear Camera - GOLDEN,4.35,3,16.0,2.0,4000.0,8.0,Dual SIM,5.5,7.0
Huawei,128395,155000,-17,"Honor 8X Max 6GB+128GB 7.12""Dual Camera Snapdragon 660 Octa Core Fingerprint Unlock Dual SIM 18W QC 5000mAh-Black",4.0,1,128.0,6.0,5000.0,13.0,Dual SIM,7.12,8.1
Itel,31590,35000,-10,"P33 Plus 6.0"" Android 8.1, 5000mAh, 16GB+1GB RAM, Dual Rear Camera, Fingerprint & Face Unlock -Gradation Blue +32GB CARD",4.5,130,16.0,1.0,5000.0,13.0,Dual SIM,6.0,8.1
Lenovo,49000,0,0,K5 Play 5.7 Inch IPS 3GB RAM 32GB ROM 13MP + 8MP Android 8.0 Dual Sim 4G LTE Smartphone 3000mAh,3.0,2,32.0,3.0,3000.0,13.0,Dual Sim,5.7,8.0
Blackview,102900,155143,-34,"Blackview BV9600, 4GB+64GB, IP68/IP69K Waterproof Dustproof Shockproof, Dual Back Cameras, 5580mAh Battery, Face ID & Side-mounted Fingerprint Identification, 6.21 Inch Android 9 Helio P70 (MTK6771T) Octa Core Up To 2.1GHz",4.5,2,64.0,4.0,5580.0,13.0,Dual SIM,6.21,9.0
XIAOMI,140000,0,0,"(Mi) Redmi Note 7 6.3-Inch FHD (3GB, 32GB ROM) Android 9.0 (Pie) (48MP + 5MP) + 13MP 4G Face & Fingerprint ID Smartphone - Black",4.9,7,32.0,3.0,4000.0,48.0,Dual SIM,6.3,9.0
XIAOMI,45990,95990,-52,Redmi 8 4GB RAM 64GB ROM Mobile Phone Snapdragon 439 Octa Core 12MP Dual Camera 5000mAh Battery,5.0,1,64.0,4.0,5000.0,12.0,Dual SIM,5.8,8.1
Blackview,75380,114114,-34,"Blackview BV6800 Pro Rugged Phone, 4GB+64GB,Android 8.0 MTK6750T Octa Core Up To 1.5GHz, NFC, Wireless Charging ",4.75,4,64.0,4.0,4000.0,13.0,Dual SIM,5.8,8.0
Infinix,110500,0,0,"Infinix ZERO 6(X620B) - 6.2"" FHD+ -64GB ROM + 6GB RAM -12MP/24MP + 20MP -AI ASSISTANT",4.5,2,64.0,6.0,4000.0,12.0,Dual SIM,6.2,8.1
Fero,28000,0,0,"Power 2 5.0-Inch IPS (1GB RAM, 8GB ROM) Android 6.0 Marshmallow, 5MP + 2MP Smartphone - Space Grey",5.0,1,8.0,1.0,4000.0,5.0,Dual SIM,5.0,6.0
Gome,46000,0,0,U7 5.99 Inch FHD 4GB RAM 64GB ROM Android 7.1 Iris Recognition 13MP + 13MP Dual Sim 4G Smartphone,3.7,3,64.0,4.0,4000.0,13.0,Dual Sim,5.99,7.1
Doogee,68760,98229,-30,"S60 Lite 4GB+32GB 5580mAh Battery 5.2"" Android 7.0 4G NFC OTA Smartphone - Silver",5.0,1,32.0,4.0,5580.0,13.0,Dual SIM,5.2,7.0
Gome,33790,44990,-25,U7 5.99 Inch 4GB RAM 64GB ROM Android 7.1 Octa Core NFC 3050mAh Iris Recognition 4G LTE Smartphone,4.5,2,64.0,4.0,3050.0,13.0,Dual SIM,5.99,7.1
Doogee,69000,95100,-27,S60 Lite Triple Proofing Phone (4GB RAM + 32GB ROM) 5.2 Inch Android 7.0 4G Smartphone - Sliver,5.0,1,32.0,4.0,4000.0,13.0,Dual SIM,5.2,7.0
Huawei,128395,155000,-17,"Honor 8X Max 6GB+128GB 7.12""Dual Camera Snapdragon 660 Octa Core Fingerprint Unlock Dual SIM 18W QC 5000mAh-Blue",3.75,4,128.0,6.0,5000.0,13.0,Dual SIM,7.12,8.1
Huawei,129229,162380,-20,"Y9 (2019) 6GB+128GB 6.5"" 16MP+2MP AI Dual Camera Kirin 710 Octa Core Fingerprint Unlock Dual SIM 4000mAh-Black",5.0,1,128.0,6.0,4000.0,16.0,Dual SIM,6.5,8.1
Blackview,154000,220000,-30,"BV9700 Pro 6GB+128GB 5.84"" Android 9.0 NFC Wireless Charge Smartphone - Tarnish",5.0,2,128.0,6.0,4000.0,13.0,Dual SIM,5.84,9.0
Huawei,75000,0,0,"Y5 Lite 5.45-Inch HD+ (1GB, 16GB ROM) Android 8.1 Oreo Go, 8MP + 5MP Dual SIM 4G Smartphone - Blue",4.25,91,16.0,1.0,4000.0,8.0,Dual SIM,5.45,8.1
Desire,24120,33688,-28,Desire 530 Android 5.1 Flash 1GB RAM+8GB ROM 5.0 Inch Dual Standby Smartphone - Black,4.0,1,8.0,1.0,4000.0,13.0,Dual SIM,5.0,5.1
Vernee,34041,48679,-30,"Thor Plus, 4G, 5.5 Inch (3GB RAM + 32GB ROM) Android 7.0, Dual SIM - Black",4.0,1,32.0,3.0,4000.0,13.0,Dual SIM,5.5,7.0
XIAOMI,78000,95000,-18,"Redmi Note 7 Dual Sim- 6.3 Inches 4GB+128GB, 48MP+5MP Rare Dual Camera, Face & Fingerprint Identification- Space Black",5.0,1,128.0,4.0,4000.0,48.0,Dual Sim,6.3,8.1
Samsung,35199,45999,-23,4G Phablet 5.5 Inch Android 7.0 4GB RAM 64GB ROM EU PLUG _BLACK,2.0,1,64.0,4.0,4000.0,13.0,Dual SIM,5.5,7.0
Gionee,99900,0,0,M7 Power (4GB+64GB) 6.0 Inch 5000mAh Battery Android 7.1 Snapdragon Octa Core 1.4GHz 4G-LTE - Black,5.0,3,64.0,4.0,5000.0,13.0,Dual SIM,6.0,7.1
Huawei,71120,101600,-30,"Honor 8C, Dual 4G, 4GB+32GB, 6.26 Inch EMUI 8.2 (Android 8.1) Smartphone - Black",5.0,1,32.0,4.0,4000.0,13.0,Dual SIM,6.26,8.1
Vernee,47990,99990,-52,Mix 2 4G Phablet 6.0 Inch Android 7.0 6GB RAM 64GB ROM 13.0MP + 5.0MP - BLACK,4.0,4,64.0,6.0,4000.0,13.0,Dual SIM,6.0,7.0
Gionee,99990,0,0,M6 5.5'HD 4G RAM+64G ROM 13MP 8MP Camera 5000mAh Battery Android OS 4G Smartphone,3.6,7,32.0,4.0,5000.0,13.0,Dual SIM,5.5,8.1
Oppo,145930,175116,-17,Realme 3 Pro 4G Phablet 6.3 Inch Android 9.0 6GB RAM 128GB ROM 4045mAh Battery-VIOLET,5.0,1,128.0,6.0,4045.0,13.0,Dual SIM,6.3,9.0
Blackview,169770,242529,-30,"BV9500 Pro Rugged Phone 6GB+128GB10000mAh Battery 5.7"" Android 8.1 NFC Smartphone - Green",4.0,1,128.0,6.0,10000.0,13.0,Dual SIM,5.7,8.1
Elephone,38000,96900,-61,Elephone P11 3D SmartPhone 4GB 64GB Android 8.0 MTK6797T  6.0 Inch 16MP+8MP 3200mah Mobile Phone,3.0,1,64.0,4.0,3200.0,16.0,Dual SIM,6.0,8.0
Nokia,7000,19000,-63,C Series C1-02 - Black Cellular Phone Multiple Keyboards-- Black,5.0,1,32.0,4.0,4000.0,13.0,Dual SIM,5.8,8.1
Samsung,36260,72520,-50,"Smart Phone X21 6.2 Inch (4GB RAM, 64GB ROM) Android 8.1 Oreo Dual SIM",2.65,21,64.0,4.0,4000.0,13.0,Dual SIM,6.2,8.1
Infinix,52999,55000,-4,"HOT 8, 6.6"" HD+ AndriodTM 9 Pie, (2GB RAM, 32GB ROM) (13+2MP/Rear & 8MP/Front), 5000mAh 4G LTE+ Free 32GB Memory Card",5.0,1,32.0,2.0,5000.0,2.0,Dual SIM,6.6,8.1
Tecno,26350,27500,-4,"POP2 F (B1F) 5.5"" 16GB ROM,1GB RAM,8MP Front +5MP Back, Battery 2400mAh,Fingerprint & Face Unlock, Midnight Black.",4.5,6,16.0,1.0,2400.0,8.0,Dual SIM,5.5,8.1
Oukitel,28602,40901,-30,"OUKITEL C11 Pro 4G 5.5"" 3GB RAM + 16GB ROM Android 8.1 - BLUE",4.0,1,16.0,3.0,4000.0,13.0,Dual SIM,5.5,8.1
Leagoo,29999,0,0,"M9 5.5-Inch IPS (2GB,16GB ROM) Android 7.0 Nougat (8MP + 2MP) + (5MP + 2MP) 3G Smartphone - Blue",3.7,194,16.0,2.0,4000.0,8.0,Dual SIM,5.5,7.0
Elephone,1000000,0,0, PX 16MP Pop Up Camera Mobile Phone Android 9.0 Fingerprint Smartphone 2019 New,4.0,1,32.0,4.0,4000.0,16.0,Dual SIM,5.8,9.0
XIAOMI,53990,0,0,"Redmi 4A 5.0"" (2GB,16GB ROM) Android 6.0 Marshmallow, 13MP + 5MP Hybrid Dual SIM 4G - Black",4.7,9,16.0,2.0,4000.0,13.0,Dual SIM,5.0,6.0
Leagoo,100000,0,0,M9 5.5 Inch 18:9 Quad Camera 2GB RAM 16GB ROM MT6580A 1.3GHz Quad Core 3G Smartphone,4.5,2,16.0,2.0,4000.0,13.0,Dual SIM,5.5,8.1
Nokia,5400,9000,-40,1682 1682c 2G GSM 900/1800 Mobilephone Classic Barphone-Blue,5.0,1,32.0,4.0,4000.0,13.0,Dual SIM,5.8,8.1
Nokia,30500,60377,-49,Global Version Nokia 3.1 Smartphone Android 5.2 Inch HD+ 3GB 32GB MT6750N Octa-Core 2990mAh 4G LTE Mobile Phone ,5.0,1,32.0,3.0,2990.0,13.0,Dual SIM,5.2,5.2
SOYES,31900,54900,-42,XS Smartphone 2GB+16GB Android 7.0 4G Wifi GPS Google Play Super Mini Pocket Mobile Phone - Dazzle,3.0,1,16.0,2.0,4000.0,13.0,Dual SIM,5.8,7.0
Oukitel,106730,138749,-23,K12 4G 6.3-inch 6GB RAM 64GB Dual Rear Cameras-BLACK,5.0,1,64.0,6.0,4000.0,13.0,Dual SIM,6.3,8.1
Itel,38500,0,0,"S15 Pro 6.088"" HD+, 16MP AI Selfie Camera, 2GB RAM + 32GB ROM, Android 9, 4G, Face ID & Fingerprint, 3000mAh - Purple",5.0,1,32.0,2.0,3000.0,16.0,Dual SIM,6.088,9.0
Gionee,44990,0,0,"S10Lite 5.2” HD  (4GB,32GB) Android 7.1, 16MP+13MP Dual SIM 4G LTE Smartphone 3,100mAh - Black",4.35,6,32.0,4.0,3100.0,16.0,Dual SIM,5.8,7.1
LG,89900,0,0,"G6 5.7"" (4GB , 64GB) 4G Single SIM ,Android 7 , 13MP - Black",4.0,1,64.0,4.0,4000.0,13.0,Single SIM,5.7,7.0
Infinix,49400,55000,-10,"HOT 8 (X650B) 6.6"" HD+, 2GB RAM + 32GB ROM, 5000mAh, Android 9, 13MP Triple AI Camera, 4G Face ID & Fingerprint - Purple",1.0,1,32.0,2.0,5000.0,13.0,Dual SIM,6.6,9.0
Samsung,139352,179600,-22,"Galaxy A8s 6GB+128GB 6.4"" 24MP+10MP+5MP Triple Cameras Snapdragon 710 Octa Core 4G Smartphone Dual Sim 3400mAh-Black",5.0,4,128.0,6.0,3400.0,24.0,Dual Sim,6.4,8.1
Oukitel,25550,35690,-28,C5 Pro - 5.0 4G Android 6.0 MTK6737 Quad Core 2GB/16GB UK PLUG - Black,3.0,1,16.0,2.0,4000.0,13.0,Dual SIM,5.8,6.0
Infinix,65000,109000,-40,"Zero 4 (X555) 5.5-Inch IPS LCD (3GB RAM,32GB ROM) Android 6.0 Marshmallow, 16MP + 8MP Dual SIM 4G LTE Smartphone -",3.0,1,32.0,3.0,4000.0,16.0,Dual SIM,5.5,6.0
Blackview,149240,213200,-30,"BV9600 Pro, 6GB+128GB, 6.21 Inch Android 8.1, 5580mAh Battery (16.0MP + 8.0MP) Back Camera - Black",5.0,1,128.0,6.0,5580.0,16.0,Dual SIM,6.21,8.1
Doogee,72790,103986,-30,"S60 Lite Triple Proofing Phone 4GB+32GB 5580mAh Battery 5.2"" Android 7.0 4G NFC Smartphone - Black",4.0,1,32.0,4.0,5580.0,13.0,Dual SIM,5.2,7.0
Asus,63990,0,0,ZenFone 3 ZE552KL Mobile Phone 4GB RAM 64GB ROM Qualcomm Octa Core -White,4.0,1,64.0,4.0,4000.0,13.0,Dual SIM,5.8,8.1
Gionee,24990,30000,-17,"M6 Mini - 5.45' 16GB ROM, 1GB RAM, 8MP Camera, 4000 MAh Battery - Gold With 15 Months Warranty",2.7,3,16.0,1.0,4000.0,8.0,Dual SIM,5.45,8.1
XIAOMI,75000,80000,-6,"Redmi Note 7- Dual Sim, 6.3-Inch FHD (4GB, 64GB ROM) Android 9.0 (Pie) (48MP + 5MP) + 13MP 4G - Space Black",5.0,1,64.0,4.0,4000.0,48.0,Dual Sim,6.3,9.0
Gionee,100000,0,0,"S11 Lite 5.7-Inch HD 18:9 Full Screen 4GB,64GB ROM Android 7.1  Dual SIM 4G LTE Fingerprint ID Smartphone - Gold",5.0,1,64.0,4.0,4000.0,13.0,Dual SIM,5.7,7.1
Huawei,32699,50299,-35,Honor 7 64GB ROM 3GB RAM 90% New Smartphone 20MP+8MP Android 5.0 Dual SIM-Grey,4.5,2,64.0,3.0,4000.0,20.0,Dual SIM,5.8,5.0
Oukitel,137000,153216,-11,K12 4G 6.3-inch Smartphone MT6765 Helio P35 2.3GHz 6GB RAM 64GB Dual Rear Cameras - Black,4.0,1,64.0,6.0,4000.0,13.0,Dual SIM,6.3,8.1
Huawei,39900,59900,-33,P8 4G LTE Mobile Phone Android Kirin 935 Octa Core 5.2 Inch IPS 1920X1080 3GB RAM 16GB ROM 13.0MP  - Moon Silver,5.0,1,16.0,3.0,4000.0,13.0,Dual SIM,5.2,8.1
Motorola,100000,0,0,MOTO P30 Play Smartphone 4GB 64GB 5.86 Inch  3000mAh 4G LTE Snapdragon 625 Octa Core Fingerprint ID Mobile Phone-White,3.0,2,64.0,4.0,3000.0,13.0,Dual SIM,5.86,8.1
Nokia,6500,9000,-28,1616 Mobile Phone  LED Torch GSM 900/1800 Cheap Call 2G GSM Multilingual Language,3.0,1,32.0,4.0,4000.0,13.0,Dual SIM,5.8,8.1
LG,43500,56500,-23,"V20 5.7"" Inches Quad Core 4GB RAM 64GB ROM 16MP LTE Fingerprint Mobile Phone -Silver",4.0,1,64.0,4.0,4000.0,16.0,Dual SIM,5.7,8.1
XIAOMI,101704,102999,-1,"(Xiaomi)Redmi Note 7 Pro 6GB+128GB 6.3"" 48MP+5MP 13MP AI Camera Quick Charge 4.0 Dual Sim 4000mAh",4.7,9,128.0,6.0,4000.0,48.0,Dual Sim,6.3,8.1
Samsung,150000,0,0,Galaxy S7 Edge (4GB Ram 32GB Rom) Gold Platinuim,3.0,2,32.0,4.0,4000.0,13.0,Dual SIM,5.8,8.1
Huawei,39900,59900,-33,P8 4G LTE Mobile Phone Android Kirin 935 Octa Core 5.2 Inch IPS 1920X1080 3GB RAM 16GB ROM 13.0MP- Smoke Grey,3.0,1,16.0,3.0,4000.0,13.0,Dual SIM,5.2,8.1
Gionee,69000,219999,-69,"M7 Power (4GB, 64GB ROM) 5000mAh, 13MP+8MP, Android 7.1, Dual Sim 4G LTE - Black",3.85,6,64.0,4.0,5000.0,13.0,Dual Sim,5.8,7.1
Hisense,19850,0,0,Smart Android Phone U962 LED 8GB+1GB Flash/2MP Selfie Quad-core 4GHz,4.0,1,8.0,1.0,4000.0,2.0,Dual SIM,5.8,8.1
Itel,37500,45000,-17,"S15 Pro 6.088"" HD+, 16MP AI Selfie Camera, 2GB RAM + 32GB ROM,  4G, Face ID & Fingerprint, 3000mAh - GRADATION PURPLE",4.0,1,32.0,2.0,3000.0,16.0,Dual SIM,6.088,8.1
LG,89000,0,0,G6 VS988 Snapdragon 821 Dual Rear Camera 5.7'' 4GB+32GB+64GB  LTE 4G Single SIM - Blue 64GB,5.0,1,32.0,4.0,4000.0,13.0,Single SIM,5.7,8.1
Blackview,36580,52257,-30,"A60 Pro 3GB+16GB 6.088"" Waterdrop Screen Android 9.0 4G Dual SIM Smartphone - Black",4.0,1,16.0,3.0,4000.0,13.0,Dual SIM,6.088,9.0
Samsung,59900,96800,-38,"Galaxy S6 Edge 5.1"" Curved Screen 32GB ROM 16MP Phone - Black",4.5,2,32.0,4.0,4000.0,16.0,Dual SIM,5.1,8.1
Leagoo,60410,84494,-29,"T5 5.5-Inch FHD 2.5D MTK6750T Octa Core 1.5GHz (4GB,64GB ROM) Android 7.0 Nougat, (13MP + 5MP) + 13MP Dual Rear Cameras Fingerprint Dual SIM 4G LTE Smartphone - Gold",3.85,121,64.0,4.0,4000.0,13.0,Dual SIM,5.5,7.0
Lenovo,39990,67280,-41,K5 Note SmartPhone Snapdragon 450 Octa-Core 4GB 64GB -Gold,4.0,5,64.0,4.0,4000.0,13.0,Dual SIM,5.8,8.1
Nokia,43130,55999,-23,"3.1 PLUS 3GB RAM+32GB ROM 6.0inch18:9 HD Mobile Phone,13MP+5MP,Helio P22 Octa Core Smartphone",4.7,6,32.0,3.0,4000.0,13.0,Dual SIM,6.0,8.1
Samsung,74500,125000,-40,Galaxy S7 Edge 5.5'' QHD(4GB+32GB) 12MP+5MP 4G Smartphone-Silver,5.0,1,32.0,4.0,4000.0,12.0,Dual SIM,5.5,8.1
Samsung,85000,0,0,"Galaxy A30s, 6.4-Inch (4GB RAM, 64GB ROM) Android 9.0 Pie, (25MP + 8MP + 8MP) 4G LTE Dual SIM - Prism Crush White",5.0,1,64.0,4.0,4000.0,25.0,Dual SIM,6.4,9.0
Samsung,170000,0,0,"Galaxy S8 5.8-Inch QHD (4GB,64GB ROM) 12MP + 8MP 4G LTE Smartphone Dual Sim - Purple+Free Pouch",1.0,1,64.0,4.0,4000.0,12.0,Dual Sim,5.8,8.1
